Key,Title,Description,Temporal Date From,Temporal Date To,Spatial Extent,Access Data link,Access Metadata link
TERN/00451286-b2ef-4a6b-ba8e-340033fd73a0,Cumberland Plain Flux Data Release 2022_v2,"<br>This release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer using eddy covariance techniques. Data were processed using PyFluxPro (v3.4.7) as described by Isaac et al. (2017). PyFluxPro produces a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER).</br> <br>The Cumberland Plain flux station is located in a dry sclerophyll forest. The Cumberland Plain Woodland is now an endangered ecological community that encompasses distinct groupings of plants growing on clayey soils. The canopy is dominated by <em>Eucalyptus moluccana</em> and <em>Eucalyptus fibrosa</em>, which host an expanding population of mistletoe. Average canopy height is 23 m, the elevation of the site is 20 m and mean annual precipitation is 800 mm. Fluxes of water vapour, carbon dioxide and heat are quantified with the open-path eddy flux technique from a 30 m tall mast. Additional measurements above the canopy include temperature, humidity, wind speed and direction, rainfall, incoming and reflected shortwave and longwave radiation and net, diffuse and direct radiation and the photochemical reflectance index. In addition, profiles of humidity and CO<sub>2</sub> are measured at eight levels within the canopy, as well as measurements of soil moisture content, soil heat fluxes, soil temperature, and 10 hr fuel moisture dynamics. In addition, regular monitoring of understory species abundance, mistletoe infection, leaf area index and litterfall are also performed.",2014-01-01,,POINT (150.7236 -33.6152),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/CumberlandPlain/2022_v2/catalog.html | https://shared.tern.org.au/rocrate/00451286-b2ef-4a6b-ba8e-340033fd73a0/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/00451286-b2ef-4a6b-ba8e-340033fd73a0
TERN/028fbab4-27f4-47d6-81e0-af15617b21fa,Warra Flux Data Release 2022_v2,"<br>This release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer using eddy covariance techniques. Data were processed using PyFluxPro (v3.4.7) as described by Isaac et al. (2017). PyFluxPro produces a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER).</br> <br><em>Eucalyptus obliqua</em> forests dominate the vegetation below 650 m where they exist as fire-maintained communities. On fertile soils these forests attain mature heights in excess of 55 m: the tallest <em>E. obliqua</em> reaches a height of 90 m. The flux station is installed in a stand of tall, mixed-aged <em>E. obliqua</em> forest (77 and >250 years-old) with a rainforest understorey and a dense man-fern (<em>Dicksonia antarctica</em>) ground-layer, on a small flat of elevation 100 m adjacent to the Huon River. The understorey vegetation progresses from wet sclerophyll (dominated by <em>Pomaderris apatala</em> and <em>Acacia dealbata</em>) to rainforest (dominated by <em>Nothofagus cunninghamii</em>, <em>Atherosperma moschatum</em>, <em>Eucryphia lucida</em> and <em>Phyllocladus aspleniifolius</em>) with increasing time intervals between fire events. The site supports prodigous quantities of coarse woody debris as is characteristic of these fire-maintained eucalypt forests on fertile sites in southern Tasmania. The soil at the flux site is derived from Permian mudstone and has a gradational profile with a dark brown organic clayey silt topsoil overlying a yellow brown clay. The climate is classified as temperate with a mild summer and no dry season. Mean annual precipitation is 1700 mm with a relatively uniform seasonal distribution. Summer temperatures peak in January (8.4 C to 19.2 C) with winter temperatures reaching their lowest in July (2.6 C to 8.4 C).</br> <br>The instruments are mounted at the top of an 80 m tall guyed steel lattice tower. Supplementary measurements above the canopy include temperature, humidity, windspeed, wind direction, rainfall, incoming and reflected shortwave radiation and net radiation. An open-path gas analyser (EC150) was replaced by a closed-path gas analyser (EC155) at the end of January 2015. Soil moisture content is measured using time domain reflectometry. Soil heat fluxes and temperature are also measured. Micro-meteorology (CO<sub>2</sub>, H<sub>2</sub>O, energy fluxes) and meteorology (temperature, humidity, wind speed and direction, rainfall) were measured from 2013 to late 2016, but the dataset is incomplete due to ongoing problems since changing the open-path IRGA to a closed path system (CPEC200) during 2015. Soil data (moisture, heat flux, temperature) are complete for the time period.</br>",2013-03-05,2021-09-21,POINT (146.6545 -43.095),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/Warra/2022_v2/catalog.html | https://shared.tern.org.au/rocrate/028fbab4-27f4-47d6-81e0-af15617b21fa/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/028fbab4-27f4-47d6-81e0-af15617b21fa
TERN/02c7c97a-bc72-4cd2-9b03-db8c438f45f5,Ridgefield Flux Data Release 2023_v2,"<br>This release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer using eddy covariance techniques. Data were processed using PyFluxPro (v3.4.15) as described by Isaac et al. (2017). PyFluxPro produces a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER).</br> <br /> The flux station is located within an area of dryland agriculture. The surrounding area is dominated by broadacre farming practices. The vegetation cover is predominantly pasture. Elevation of the site is close to 330 m. Climate information comes from the nearby Pingelly BoM AWS station 010626 (1991 to 2016) and shows mean annual precipitation is approximately 445 mm with highest rainfall in June and July of 81 mm each month. Maximumum and minuimum annual rainfall is 775 and 217 mm, respectively. Maximum temperatures range from 31.9 C (in Jan) to 15.4 C (in July), while minimum temperatures range from 5.5 C (in July) to 16.0 C (in Feb).<br /><br />",2016-01-01,2023-08-07,POINT (116.9668 -32.5061),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/Ridgefield/2023_v2/catalog.html | https://shared.tern.org.au/rocrate/02c7c97a-bc72-4cd2-9b03-db8c438f45f5/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/02c7c97a-bc72-4cd2-9b03-db8c438f45f5
TERN/031eaac5-602d-44e2-848c-c20e21f120fa,Otway Flux Data Collection,"This dataset consists of measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer in Nirranda South using eddy covariance techniques. <br /> <br /> The Otway flux station was located at Narrinda South in south west Victoria, Australia.The pasture was grazed by dairy cattle with average grass height of 0.1m. Annual average rainfall at the site was around 800mm and was only moderately seasonal. Mean daily temperature ranged from 25 C in February to 12 C in July. The flux station was situated on a 10m tower. Fluxes of heat, water vapour and carbon dioxide were measured using the open-path eddy covariance technique. Supplementary measurements included temperature, humidity, rainfall, total solar, photosynthetically active radiation (PAR) and net radiation. Soil temperature and heat flux were also measured. The Otway flux station was established in February 2007 on private land at Nirranda South and managed by CSIRO Marine and Atmospheric Research staff as part of the Cooperative Research Centre for Greenhouse Gas Technologies.<br />For additional site information, see http://www.ozflux.org.au/monitoringsites/otway/index.html . <br>This data is also available at http://data.ozflux.org.au .<br />",2007-08-11,2011-01-01,POINT (142.81 -38.525),https://shared.tern.org.au/rocrate/031eaac5-602d-44e2-848c-c20e21f120fa/download | http://dap.ozflux.org.au/thredds/catalog/ozflux/sites/Otway/catalog.html,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/031eaac5-602d-44e2-848c-c20e21f120fa
TERN/03fcb162-2d0a-44b4-893a-6b0c16634665,Cow Bay Flux Data Release 2021_v1,"This data release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer in semi-arid eucalypt woodland using eddy covariance techniques. It been processed using PyFluxPro (v3.3.0) as described in Isaac et al. (2017), <a href=""https://doi.org/10.5194/bg-14-2903-2017"">https://doi.org/10.5194/bg-14-2903-2017</a>. PyFluxPro takes data recorded at the flux tower and process this data to a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER). For more information about the processing levels, see <a href=""https://github.com/OzFlux/PyFluxPro/wiki"">https://github.com/OzFlux/PyFluxPro/wiki</a>. <br /> <br /> The Cow Bay flux station was established in December 2008 and managed by James Cook University. The forest is classified as complex mesophyll vine forest, there are 94 species in the core 1Ha, and average tree height is 22m. Elevation of the site is 90m and mean annual precipitation is 3935mm. The Daintree Rainforest is one of the most biodiverse forests in Australia.The instruments are mounted on a walk-up tourist tower at 35m. Fluxes of heat, water vapour and carbon dioxide are measured using the open-path eddy flux technique. Supplementary measurements above the canopy include temperature, humidity, windspeed, wind direction, rainfall, incoming and reflected shortwave radiation and net radiation.The early years 2009 - 12 had several data gaps. Shadowing of the radiometric equipment continues to cause artifacts on the radiometers - these can be seen as reduction in downwelling radiation with solar inclination. The site is part of the FNQ Rainforest SuperSite - associated with the Daintree node, which is part of the TERN Australian SuperSite Network (ASN). <br/> For additional site information, see https://supersites.tern.org.au/supersites/fnqr-daintree .<br />",2009-01-01,2019-12-27,POINT (145.42715 -16.238189),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/CowBay/2021_v1/catalog.html | https://shared.tern.org.au/rocrate/03fcb162-2d0a-44b4-893a-6b0c16634665/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/03fcb162-2d0a-44b4-893a-6b0c16634665
TERN/0419b029-b557-42d4-9d5b-22bec4a16f21,Alpine Peatland Flux Data Release 2024_v2,"<br>This release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer using eddy covariance techniques. Data were processed using PyFluxPro (v3.4.18) as described by Isaac et al. (2017). PyFluxPro produces a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER).</br> <br>The Alpine Peatland flux station was established in 2017 at Heathy Spur I, an alpine sphagnum bog on the Bogong High Plains recognised by Parks Victoria as a reference ecosystem for this endangered ecological community. The vegetation is dominated by the peat-forming moss <em>Sphagnum cristatum</em>, as well as typical peatland species including candle heath (<em>Richea continentis</em>), alpine baeckea (<em>Baeckea gunniana</em>) and rope rush (<em>Empodisma minus</em>). The Alpine Peatland tower typically experiences a mild growing season from October to June and 2-3 months of snow cover from July to September.<br />",2017-04-12,2022-06-20,POINT (147.3208 -36.8607),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/AlpinePeatland/2024_v2/catalog.html | https://shared.tern.org.au/rocrate/0419b029-b557-42d4-9d5b-22bec4a16f21/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/0419b029-b557-42d4-9d5b-22bec4a16f21
TERN/045e5cc2-2ede-4310-98d3-115955d386fb,Fogg Dam Flux Data Release 2024_v2,"<br>This release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer using eddy covariance techniques. Data were processed using PyFluxPro (v3.4.17) as described by Isaac et al. (2017). PyFluxPro produces a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER).</br><br> The site is situated within a wetland that flooded seasonally. The principal vegetation is <em>Oryza rufipogon</em>, <em>Pseudoraphis spinescens</em> and <em>Eleocharis dulcis</em>. The elevation is approximately 4 m, with a neighbouring Bureau of Meteorology station recording 1411 mm mean annual precipitation. Maximum temperatures range from 31.3 C (in June and July) to 35.6 C (in October), while minimum temperatures range from 14.9 C (in July) to 23.9 C (in December and February). Maximum temperatures vary on a seasonal basis by approximately 4.3 C and minimum temperatures by 9.0 C.<br /><br /> The instrument mast is 15 m tall. Heat, water vapour and carbon dioxide measurements are taken using the open-path eddy flux technique. Temperature, humidity, wind speed, wind direction, rainfall, incoming and reflected shortwave radiation and net radiation are measured above the canopy. Soil heat fluxes are measured and soil moisture content is gathered using time domain reflectometry. Ancillary measurements being taken at the site include LAI, leaf-scale physiological properties (gas exchange, leaf isotope ratios, nitrogen and chlorophyll concentrations), vegetation optical properties and soil physical properties. Airborne-based remote sensing (Lidar and hyperspectral measurements) was carried out across the site in September 2008.",2006-02-07,2008-10-31,POINT (131.3072 -12.5452),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/FoggDam/2024_v2/catalog.html | https://shared.tern.org.au/rocrate/045e5cc2-2ede-4310-98d3-115955d386fb/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/045e5cc2-2ede-4310-98d3-115955d386fb
TERN/0478c80f-c67f-4222-9721-c8d48eb8f178,Great Western Woodlands Flux Data Release 2022_v2,"<br>This release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer using eddy covariance techniques. Data were processed using PyFluxPro (v3.4.7) as described by Isaac et al. (2017). PyFluxPro produces a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER).</br><br> Great Western Woodlands (GWW) comprise a 16 million ha mosaic of temperate woodland, shrubland and mallee vegetation in south-west Western Australia. The region has remained relatively intact since European settlement, owing to the variable rainfall and lack of readily accessible groundwater. The woodland component is globally unique in that nowhere else do woodlands occur at as little as 220 mm mean annual rainfall. Further, other temperate woodlands around the world have typically become highly fragmented and degraded through agricultural use. Great Western Woodlands Site was established in 2012 in the Credo Conservation Reserve. The site is in semi-arid woodland and was operated as a pastoral lease from 1907 to 2007. The core 1 ha plot is characterised by <em>Eucalyptus salmonophloia</em> (salmon gum), with <em>Eucalyptus salubris</em> and <em>Eucalyptus clelandii</em> dominating other research plots. The flux station is located in salmon gum woodland.",2013-01-01,,POINT (120.6541 -30.1913),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/GreatWesternWoodlands/2022_v2/catalog.html | https://shared.tern.org.au/rocrate/0478c80f-c67f-4222-9721-c8d48eb8f178/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/0478c80f-c67f-4222-9721-c8d48eb8f178
TERN/052a574a-e5a1-4ca5-9ea7-a753ad490617,Yanco Flux Data Release 2022_v1,"This data release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer in semi-arid eucalypt woodland using eddy covariance techniques. It been processed using PyFluxPro (v3.3.3) as described in Isaac et al. (2017), <a href=""https://doi.org/10.5194/bg-14-2903-2017"">https://doi.org/10.5194/bg-14-2903-2017</a>. PyFluxPro takes data recorded at the flux tower and process this data to a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER). For more information about the processing levels, see <a href=""https://github.com/OzFlux/PyFluxPro/wiki"">https://github.com/OzFlux/PyFluxPro/wiki</a>. <br /><br /> This is a topographically flat area, primarily comprised of the following soil types: sandy loams, scattered clays, red brown earths, transitional red brown earth, sands over clay and deep sands. Stream valleys and layered soil and sedimentary materials are found across the landscape. <br /><br /> The flux station tower extends to 20m, however flux measurements are recorded from slightly lower than this. Mean annual precipitation from a nearby Bureau of Meteorology site measured 465 mm. Maximum temperatures ranged from 37.4 C (in January) to 16.6 C (in July), while minimum temperatures ranged from 29.0 C (in January) to 11.8 C (in July). Maximum temperatures varied on a seasonal basis by approximately 20.8 C and minimum temperatures by 17.2 C. <br /> The site is within a wider research area (60 x 60 km) that supports a network of flux stations, which have been in operation since late 2001 onwards.<br /><br />",2013-01-01,2022-02-18,POINT (146.2907 -34.9893),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/Yanco/2022_v1/catalog.html | https://shared.tern.org.au/rocrate/052a574a-e5a1-4ca5-9ea7-a753ad490617/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/052a574a-e5a1-4ca5-9ea7-a753ad490617
TERN/05508482-8a69-4f84-8ecc-6331c1c4992c,Sturt Plains Flux Data Release 2022_v2,"<br>This release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer using eddy covariance techniques. Data were processed using PyFluxPro (v3.4.7) as described by Isaac et al. (2017). PyFluxPro produces a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER).</br> <br>The site is located on a low lying plain dominated by Mitchell Grass (<em>Astrebla</em> spp.). Elevation of the site is close to 250 m and mean annual precipitation at a nearby Bureau of Meteorology site is 640 mm. Maximum temperatures range from 28.4 C (in June/ July) to 39.1 C (in December), while minimum temperatures range from 11.2 C (in July) to 24.4 C (in December).</br> <br>The instrument mast is 5 m tall. Heat, water vapour and carbon dioxide measurements are taken using the open-path eddy flux technique. Temperature, humidity, wind speed, wind direction, rainfall and net radiation are measured. Soil heat fluxes are measured and soil moisture content is gathered using time domain reflectometry.</br> <br>Ancillary measurements taken at the site include LAI, leaf-scale physiological properties (gas exchange, leaf isotope ratios, nitrogen and chlorophyll concentrations), vegetation optical properties and soil physical properties. Airborne based remote sensing (Lidar and hyperspectral measurements) was carried out at the site in September 2008. Biomass harvest measured: mean live biomass 0.00 gm<sup>-2</sup> (standard error: 0.00), mean standing dead biomass 163.42 gm<sup>-2</sup> (standard error: 16.73), mean litter biomass 148.99 gm<sup>-2</sup> (standard error: 21.32), total mean biomass 312.40 gm<sup>-2</sup> (standard error: 30.80). Soil consists of: clay 14.47%, silt 51.23%, sand 34.30%.</br>",2008-08-28,,POINT (133.3502 -17.1507),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/SturtPlains/2022_v2/catalog.html | https://shared.tern.org.au/rocrate/05508482-8a69-4f84-8ecc-6331c1c4992c/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/05508482-8a69-4f84-8ecc-6331c1c4992c
